"country","lineage","days_above_10","days_above_10_cat"
"Australia","A",102,"100+"
"Australia","A.2.2",42,"31–100"
"Australia","AU (B.1.466.2)",30,"<30"
"Australia","AY (B.1.617.2)",66,"31–100"
"Australia","AY.39",61,"31–100"
"Australia","AY.39.1",192,"100+"
"Australia","AY.39.1.2",127,"100+"
"Australia","AY.39.1.3",92,"31–100"
"Australia","AY.39.1.4",72,"31–100"
"Australia","B.1",199,"100+"
"Australia","B.1.1.416",17,"<30"
"Australia","B.1.160",16,"<30"
"Australia","B.1.2",53,"31–100"
"Australia","B.1.23",21,"<30"
"Australia","B.1.258",11,"<30"
"Australia","B.1.319",10,"<30"
"Australia","B.1.338",31,"31–100"
"Australia","B.1.351",54,"31–100"
"Australia","B.1.36",45,"31–100"
"Australia","B.1.36.1",11,"<30"
"Australia","B.1.429",12,"<30"
"Australia","B.1.517.1",26,"<30"
"Australia","B.29",1,"<30"
"Australia","B.3",7,"<30"
"Australia","B.4.5",19,"<30"
"Australia","B.6",20,"<30"
"Australia","BA.1 (BA.1)",31,"31–100"
"Australia","BA.1.1 (BA.1.1)",53,"31–100"
"Australia","BA.1.17 (BA.1.17)",113,"100+"
"Australia","BA.1.17.1 (BA.1.17.1)",6,"<30"
"Australia","BA.2 (BA.2)",165,"100+"
"Australia","BA.2.10 (BA.2.10)",21,"<30"
"Australia","BA.2.12.2 (BA.2.12.2)",9,"<30"
"Australia","BA.2.3 (BA.2.3)",119,"100+"
"Australia","BA.2.33 (BA.2.33)",9,"<30"
"Australia","BA.2.42 (BA.2.42)",12,"<30"
"Australia","BA.4 (BA.4)",3,"<30"
"Australia","BA.4.1 (BA.4.1)",39,"31–100"
"Australia","BA.4.5 (BA.4.5)",3,"<30"
"Australia","BA.4.6.4 (BA.4.6.4)",14,"<30"
"Australia","BA.5 (BA.5)",3,"<30"
"Australia","BA.5.1 (BA.5.1)",106,"100+"
"Australia","BA.5.2 (BA.5.2)",174,"100+"
"Australia","BA.5.6 (BA.5.6)",2,"<30"
"Australia","BA.5.7 (BA.5.7)",9,"<30"
"Australia","BC5 (BA.1.1.15)",1,"<30"
"Australia","BE.1",64,"31–100"
"Australia","BF (BA.5.2.1)",163,"100+"
"Australia","BF.17",1,"<30"
"Australia","BF.18",0,"<30"
"Australia","BG (BA.2.12.1)",6,"<30"
"Australia","BJ (BA.2.10.1)",49,"31–100"
"Australia","BN.1",23,"<30"
"Australia","BN.1.3",41,"31–100"
"Australia","BQ.1",55,"31–100"
"Australia","BQ.1.1",119,"100+"
