"country","lineage","peak_share","peak_share_logit","peak_share_cat"
"Australia","A",0.239843588950732,-1.15353721793816,">0.20"
"Australia","A.2.2",0.386663458169429,-0.461359095606545,">0.20"
"Australia","AU (B.1.466.2)",0.250001090179662,-1.09860647438503,">0.20"
"Australia","AY (B.1.617.2)",0.486206483574905,-0.0551880687326633,">0.20"
"Australia","AY.39",0.0785070810083116,-2.46280626821304,"0.10–0.20"
"Australia","AY.39.1",0.941913247996333,2.78597555964706,">0.20"
"Australia","AY.39.1.2",0.532870253953707,0.131670920680355,">0.20"
"Australia","AY.39.1.3",0.208782728814006,-1.3322784729936,">0.20"
"Australia","AY.39.1.4",0.298282982274955,-0.855487573236527,">0.20"
"Australia","B.1",0.494782598354027,-0.0208703640965862,">0.20"
"Australia","B.1.1.416",0.0931334725645871,-2.27596162788062,"0.10–0.20"
"Australia","B.1.160",0.154761904761905,-1.69773051957978,"0.10–0.20"
"Australia","B.1.2",0.198214285714286,-1.39749268642992,"0.10–0.20"
"Australia","B.1.23",0.068247120331835,-2.61393238872155,"0.10–0.20"
"Australia","B.1.258",0.155952380952381,-1.68865820333098,"0.10–0.20"
"Australia","B.1.319",0.0434419381787803,-3.09191619740691,"<0.10"
"Australia","B.1.338",0.465703344274773,-0.137402388632755,">0.20"
"Australia","B.1.351",0.128363997113997,-1.91550195324965,"0.10–0.20"
"Australia","B.1.36",0.157312925170068,-1.67835870925166,"0.10–0.20"
"Australia","B.1.36.1",0.23339874411303,-1.18921845219838,">0.20"
"Australia","B.1.429",0.071978021978022,-2.55669459360665,"0.10–0.20"
"Australia","B.1.517.1",0.567377992377992,0.271161349699559,">0.20"
"Australia","B.29",0.0197932692929911,-3.90242155390671,"<0.10"
"Australia","B.3",0.0387944713879881,-3.20991050915063,"<0.10"
"Australia","B.4.5",0.0712069676355391,-2.56829525491497,"0.10–0.20"
"Australia","B.6",0.0663265306122449,-2.64453679537988,"0.10–0.20"
"Australia","BA.1 (BA.1)",0.0755397906144678,-2.50455046432479,"0.10–0.20"
"Australia","BA.1.1 (BA.1.1)",0.101411530407601,-2.18163836823072,"0.10–0.20"
"Australia","BA.1.17 (BA.1.17)",0.82074632864117,1.52141212214748,">0.20"
"Australia","BA.1.17.1 (BA.1.17.1)",0.0401174482901725,-3.17499957587738,"<0.10"
"Australia","BA.2 (BA.2)",0.690297267672347,0.801509418089083,">0.20"
"Australia","BA.2.10 (BA.2.10)",0.0596152167594751,-2.75837827913827,"0.10–0.20"
"Australia","BA.2.12.2 (BA.2.12.2)",0.0515360590786213,-2.91256203275623,"0.10–0.20"
"Australia","BA.2.3 (BA.2.3)",0.190250108492528,-1.44838585706409,"0.10–0.20"
"Australia","BA.2.33 (BA.2.33)",0.0586913331993986,-2.77497903551074,"0.10–0.20"
"Australia","BA.2.42 (BA.2.42)",0.0523741490513427,-2.89554662147586,"0.10–0.20"
"Australia","BA.4 (BA.4)",0.0420362551342856,-3.12627746923851,"<0.10"
"Australia","BA.4.1 (BA.4.1)",0.0641637446464939,-2.68000219426589,"0.10–0.20"
"Australia","BA.4.5 (BA.4.5)",0.0306898649148723,-3.45265215050971,"<0.10"
"Australia","BA.4.6.4 (BA.4.6.4)",0.0527034535962724,-2.8889312006126,"0.10–0.20"
"Australia","BA.5 (BA.5)",0.0252337784056606,-3.65401415963503,"<0.10"
"Australia","BA.5.1 (BA.5.1)",0.0890467493317582,-2.32533007422803,"0.10–0.20"
"Australia","BA.5.2 (BA.5.2)",0.317324625826918,-0.766094146420566,">0.20"
"Australia","BA.5.6 (BA.5.6)",0.0253076314316822,-3.65101591392812,"<0.10"
"Australia","BA.5.7 (BA.5.7)",0.0518529464854921,-2.90609784979842,"0.10–0.20"
