Entity,Code,Day,Weekly new hospital admissions per million
Belgium,BEL,2020-03-12,2.917
Belgium,BEL,2020-03-13,8.15
Belgium,BEL,2020-03-14,12.955
Belgium,BEL,2020-03-15,18.96
Belgium,BEL,2020-03-16,26.424
Belgium,BEL,2020-03-17,37.148
Belgium,BEL,2020-03-18,51.905
Belgium,BEL,2020-03-19,67.948
Belgium,BEL,2020-03-20,87.938
Belgium,BEL,2020-03-21,110.759
Belgium,BEL,2020-03-22,128.604
Belgium,BEL,2020-03-23,144.047
Belgium,BEL,2020-03-24,169.356
Belgium,BEL,2020-03-25,200.585
Belgium,BEL,2020-03-26,224.693
Belgium,BEL,2020-03-27,249.83
Belgium,BEL,2020-03-28,277.284
Belgium,BEL,2020-03-29,300.191
Belgium,BEL,2020-03-30,318.894
Belgium,BEL,2020-03-31,330.047
Belgium,BEL,2020-04-01,334.851
Belgium,BEL,2020-04-02,341.543
Belgium,BEL,2020-04-03,334.251
Belgium,BEL,2020-04-04,322.24
Belgium,BEL,2020-04-05,306.368
Belgium,BEL,2020-04-06,292.469
Belgium,BEL,2020-04-07,286.035
Belgium,BEL,2020-04-08,274.453
Belgium,BEL,2020-04-09,265.444
Belgium,BEL,2020-04-10,259.353
Belgium,BEL,2020-04-11,249.916
Belgium,BEL,2020-04-12,242.795
Belgium,BEL,2020-04-13,235.932
Belgium,BEL,2020-04-14,216.885
Belgium,BEL,2020-04-15,204.274
Belgium,BEL,2020-04-16,191.062
Belgium,BEL,2020-04-17,180.337
Belgium,BEL,2020-04-18,169.442
Belgium,BEL,2020-04-19,165.152
Belgium,BEL,2020-04-20,160.004
Belgium,BEL,2020-04-21,160.777
Belgium,BEL,2020-04-22,152.112
Belgium,BEL,2020-04-23,142.76
Belgium,BEL,2020-04-24,135.468
Belgium,BEL,2020-04-25,130.148
Belgium,BEL,2020-04-26,121.826
Belgium,BEL,2020-04-27,117.108
Belgium,BEL,2020-04-28,108.786
Belgium,BEL,2020-04-29,106.126
Belgium,BEL,2020-04-30,101.751
Belgium,BEL,2020-05-01,94.287
Belgium,BEL,2020-05-02,83.906
Belgium,BEL,2020-05-03,78.072
Belgium,BEL,2020-05-04,74.898
Belgium,BEL,2020-05-05,71.294
Belgium,BEL,2020-05-06,64.088
Belgium,BEL,2020-05-07,61.428
Belgium,BEL,2020-05-08,56.709
Belgium,BEL,2020-05-09,56.967
Belgium,BEL,2020-05-10,56.967
Belgium,BEL,2020-05-11,53.192
Belgium,BEL,2020-05-12,48.988
Belgium,BEL,2020-05-13,47.444
Belgium,BEL,2020-05-14,42.639
Belgium,BEL,2020-05-15,41.438
Belgium,BEL,2020-05-16,39.465
Belgium,BEL,2020-05-17,38.006
Belgium,BEL,2020-05-18,38.35
Belgium,BEL,2020-05-19,37.063
Belgium,BEL,2020-05-20,36.548
Belgium,BEL,2020-05-21,36.291
Belgium,BEL,2020-05-22,33.888
Belgium,BEL,2020-05-23,33.374
Belgium,BEL,2020-05-24,32.172
Belgium,BEL,2020-05-25,31.057
Belgium,BEL,2020-05-26,29.341
Belgium,BEL,2020-05-27,27.282
Belgium,BEL,2020-05-28,24.28
Belgium,BEL,2020-05-29,23.507
Belgium,BEL,2020-05-30,22.306
Belgium,BEL,2020-05-31,21.877
Belgium,BEL,2020-06-01,21.019
Belgium,BEL,2020-06-02,20.762
Belgium,BEL,2020-06-03,18.102
Belgium,BEL,2020-06-04,18.617
Belgium,BEL,2020-06-05,18.789
Belgium,BEL,2020-06-06,17.159
Belgium,BEL,2020-06-07,16.987
Belgium,BEL,2020-06-08,16.043
Belgium,BEL,2020-06-09,15.014
Belgium,BEL,2020-06-10,14.842
Belgium,BEL,2020-06-11,14.756
Belgium,BEL,2020-06-12,14.327
Belgium,BEL,2020-06-13,13.298
Belgium,BEL,2020-06-14,12.612
Belgium,BEL,2020-06-15,12.097
Belgium,BEL,2020-06-16,12.354
Belgium,BEL,2020-06-17,12.268
Belgium,BEL,2020-06-18,11.239
Belgium,BEL,2020-06-19,10.896
Belgium,BEL,2020-06-20,11.496
Belgium,BEL,2020-06-21,11.153
Belgium,BEL,2020-06-22,11.325
Belgium,BEL,2020-06-23,10.038
Belgium,BEL,2020-06-24,9.78
Belgium,BEL,2020-06-25,9.78
Belgium,BEL,2020-06-26,9.523
Belgium,BEL,2020-06-27,9.351
Belgium,BEL,2020-06-28,8.923
Belgium,BEL,2020-06-29,8.923
Belgium,BEL,2020-06-30,9.351
Belgium,BEL,2020-07-01,8.751
Belgium,BEL,2020-07-02,8.065
Belgium,BEL,2020-07-03,7.035
Belgium,BEL,2020-07-04,7.035
Belgium,BEL,2020-07-05,7.035
Belgium,BEL,2020-07-06,6.692
Belgium,BEL,2020-07-07,6.692
Belgium,BEL,2020-07-08,6.692
Belgium,BEL,2020-07-09,6.52
Belgium,BEL,2020-07-10,6.52
Belgium,BEL,2020-07-11,6.091
Belgium,BEL,2020-07-12,6.091
Belgium,BEL,2020-07-13,6.006
Belgium,BEL,2020-07-14,6.091
Belgium,BEL,2020-07-15,6.263
Belgium,BEL,2020-07-16,6.434
Belgium,BEL,2020-07-17,6.863
Belgium,BEL,2020-07-18,8.236
Belgium,BEL,2020-07-19,9.18
Belgium,BEL,2020-07-20,9.609
Belgium,BEL,2020-07-21,8.837
Belgium,BEL,2020-07-22,9.866
Belgium,BEL,2020-07-23,11.582
Belgium,BEL,2020-07-24,13.555
Belgium,BEL,2020-07-25,13.47
Belgium,BEL,2020-07-26,13.298
Belgium,BEL,2020-07-27,14.499
Belgium,BEL,2020-07-28,17.244
Belgium,BEL,2020-07-29,18.274
Belgium,BEL,2020-07-30,18.017
Belgium,BEL,2020-07-31,16.73
Belgium,BEL,2020-08-01,16.987
Belgium,BEL,2020-08-02,18.102
Belgium,BEL,2020-08-03,18.188
Belgium,BEL,2020-08-04,16.387
Belgium,BEL,2020-08-05,17.673
Belgium,BEL,2020-08-06,17.931
Belgium,BEL,2020-08-07,19.132
Belgium,BEL,2020-08-08,19.904
Belgium,BEL,2020-08-09,19.389
Belgium,BEL,2020-08-10,20.419
Belgium,BEL,2020-08-11,23.164
