country,date,lineage,n
United Kingdom,2022-06-11,BA.5.1,125
United Kingdom,2022-06-09,BA.5.1,129
United Kingdom,2022-06-11,BA.2.56,3
United Kingdom,2022-01-09,BA.1,1866
United Kingdom,2022-01-05,BA.1.17.2,3144
United Kingdom,2022-01-17,BA.1.13,7
United Kingdom,2022-01-08,BA.1.17.2,1667
United Kingdom,2022-01-10,BA.1.17.2,2457
United Kingdom,2022-01-07,BA.1,2294
United Kingdom,2022-01-07,BA.1.1,1428
United Kingdom,2022-01-05,BA.1,3621
United Kingdom,2022-01-10,BA.1.1,2059
United Kingdom,2022-01-22,BA.1,1906
United Kingdom,2022-01-19,BA.1,2741
United Kingdom,2022-01-08,BA.1,2155
United Kingdom,2022-01-18,BA.1.1.14,161
United Kingdom,2022-01-21,BA.1.17.2,2149
United Kingdom,2022-01-20,BA.1,2507
United Kingdom,2022-01-21,BA.1.15.1,516
United Kingdom,2022-01-02,BA.1.1,1221
United Kingdom,2022-01-19,BA.1.1,2639
United Kingdom,2022-01-20,BA.2,173
United Kingdom,2022-01-20,BA.1.1,2494
United Kingdom,2022-01-01,BA.1,1772
United Kingdom,2022-06-10,BA.4.1,54
United Kingdom,2022-01-08,BA.1.16,137
United Kingdom,2022-01-08,BA.1.1.12,33
United Kingdom,2022-05-25,BA.4,36
United Kingdom,2022-01-06,BA.1.1,2074
United Kingdom,2022-05-27,BA.4,22
United Kingdom,2022-01-05,BA.1.1,1997
United Kingdom,2022-06-10,BA.4,102
United Kingdom,2022-06-11,BF.1,23
United Kingdom,2022-06-11,BA.2.10,1
United Kingdom,2022-05-23,BA.2.9,25
United Kingdom,2022-06-10,BA.2.38,7
United Kingdom,2022-05-28,BA.5.3.1,1
United Kingdom,2022-05-25,BA.2,237
United Kingdom,2022-05-26,BA.2.12.1,61
United Kingdom,2022-06-09,BA.2.1,5
United Kingdom,2022-05-28,BA.2.56,2
United Kingdom,2022-05-26,BA.2.9,21
United Kingdom,2022-06-09,BA.4,144
United Kingdom,2022-05-28,BA.2,132
United Kingdom,2022-06-09,BA.2.12.1,118
United Kingdom,2022-02-03,BA.1.1,3518
United Kingdom,2022-01-25,BA.1,2407
United Kingdom,2022-02-07,BA.1.1,4057
United Kingdom,2022-02-02,BA.2,1150
United Kingdom,2022-02-02,BA.1.1.12,88
United Kingdom,2022-02-01,BA.2.9,33
United Kingdom,2022-02-02,BA.1,2427
United Kingdom,2022-01-05,BA.1.15.1,678
United Kingdom,2022-02-03,BA.2,1261
United Kingdom,2022-02-03,BA.1,1898
United Kingdom,2022-01-30,BA.1.1,2947
United Kingdom,2022-01-30,BA.1.17.2,1321
United Kingdom,2022-06-09,BA.2.74,1
United Kingdom,2022-02-04,BA.1.17.2,1041
United Kingdom,2022-02-03,BA.1.17.2,1209
United Kingdom,2022-02-02,BA.1.1,4372
United Kingdom,2022-02-04,BA.2,1116
United Kingdom,2022-02-01,BA.2,904
United Kingdom,2022-02-04,BA.1.1,3074
United Kingdom,2022-02-01,BA.1,1746
United Kingdom,2022-02-01,BA.1.17.2,1149
United Kingdom,2022-02-01,BA.1.1,2842
United Kingdom,2022-01-06,BA.1,3674
United Kingdom,2021-12-27,BA.1.17.2,2518
United Kingdom,2022-01-04,BA.1.17.2,3690
United Kingdom,2022-06-05,BA.2.12.1,61
United Kingdom,2022-02-05,BA.2,1511
United Kingdom,2022-05-26,BA.2,183
United Kingdom,2022-02-02,BA.1.17.2,1472
United Kingdom,2022-02-06,BA.1.1,3349
United Kingdom,2022-06-11,BA.5.1.4,6
United Kingdom,2022-01-24,BA.1.17.2,1875
United Kingdom,2022-06-09,BA.2,135
United Kingdom,2022-06-09,BA.5.1.4,4
United Kingdom,2022-02-07,BA.1.1.1,177
United Kingdom,2022-02-03,BA.1.5,14
United Kingdom,2022-02-07,BA.1,1949
United Kingdom,2022-02-09,BA.1.1,3339
United Kingdom,2022-06-08,BA.5.1,127
United Kingdom,2022-02-05,BA.1,1696
United Kingdom,2022-06-06,BA.4.1,53
United Kingdom,2022-01-31,BA.1,2494
United Kingdom,2022-01-07,BA.1.17.2,1825
United Kingdom,2021-12-26,BA.1.15,283
United Kingdom,2022-01-01,BA.1.1.13,46
United Kingdom,2022-02-17,BA.1.1,2849
United Kingdom,2022-01-06,BA.1.1.14,111
United Kingdom,2022-01-24,BA.1,2750
United Kingdom,2022-02-11,BA.1,1247
United Kingdom,2022-02-09,BA.2,1590
United Kingdom,2022-02-08,BA.1.1,3980
United Kingdom,2022-01-09,BA.1.17.2,1514
United Kingdom,2022-01-17,BA.1.17.2,2234
United Kingdom,2021-12-31,BA.1,2451
United Kingdom,2022-02-16,BA.2,3076
United Kingdom,2022-01-12,BA.1.1,2020
United Kingdom,2022-01-16,BA.1,2062
United Kingdom,2022-06-10,BA.2.12.1,107
United Kingdom,2022-03-07,BA.1.1,1616
United Kingdom,2022-01-11,BA.1,3127
United Kingdom,2022-05-23,BA.2.12.1,41
United Kingdom,2021-12-29,BA.1,4234
United Kingdom,2022-06-09,BA.2.5,2
United Kingdom,2022-01-07,BA.1.17,191
United Kingdom,2022-06-09,BA.5.2.1,55
United Kingdom,2022-06-08,BA.2,163
United Kingdom,2022-06-09,BA.5.6,3
United Kingdom,2022-01-29,BA.1,1634
United Kingdom,2021-12-31,BA.1.15.1,537
United Kingdom,2022-01-01,BA.1.15,226
United Kingdom,2022-01-26,BA.1.17.2,1437
United Kingdom,2022-01-02,BA.1.17.2,2319
United Kingdom,2021-12-19,BA.1.15.1,590
United Kingdom,2022-01-02,BA.1.1.14,74
United Kingdom,2022-01-06,BA.1.17.2,2882
United Kingdom,2022-01-08,BA.1.1,1222
United Kingdom,2022-01-08,BA.1.15.1,413
United Kingdom,2022-01-09,BA.1.1,1200
United Kingdom,2022-02-06,BA.1,1701
United Kingdom,2022-01-03,BA.1.1,1894
United Kingdom,2022-01-10,BA.1.15,396
United Kingdom,2021-12-26,BA.1.17.2,1979
United Kingdom,2021-12-26,BA.1.15.1,510
United Kingdom,2022-01-10,BA.1,3190
United Kingdom,2022-02-04,BA.2.9,63
United Kingdom,2021-12-28,BA.1.1,1297
United Kingdom,2022-01-12,BA.1,2579
United Kingdom,2021-12-28,BA.1,3637
United Kingdom,2021-12-19,BA.1.17,136
United Kingdom,2022-01-27,BA.1.1,2179
United Kingdom,2022-02-09,BA.1,1351
United Kingdom,2022-01-11,BA.1.15.1,633
United Kingdom,2022-01-12,BA.2.5,9
United Kingdom,2022-01-13,BA.1.16,147
United Kingdom,2022-01-04,BA.1,4427
United Kingdom,2021-12-24,BA.1,1478
United Kingdom,2021-12-18,BA.1.17.2,2315
United Kingdom,2021-12-23,BA.1.15.1,611
United Kingdom,2021-12-19,BA.1.17.2,1870
United Kingdom,2022-01-17,BA.1,3147
United Kingdom,2022-01-18,BA.1.1,2625
United Kingdom,2022-01-25,BA.1.17.2,1699
United Kingdom,2022-01-17,BA.2.10,53
United Kingdom,2022-05-27,BA.2.9,21
United Kingdom,2022-05-31,BE.1,12
United Kingdom,2022-05-29,BA.2,83
United Kingdom,2022-05-31,BA.2.3,8
United Kingdom,2022-05-24,BA.2,226
United Kingdom,2022-01-04,BA.1.18,80
United Kingdom,2021-12-17,BA.1.17.2,1391
United Kingdom,2021-12-30,BA.1,3516
United Kingdom,2022-01-21,BA.1.17,184
United Kingdom,2022-01-13,BA.1.17.2,2001
United Kingdom,2021-12-23,BA.1.1,567
United Kingdom,2022-01-26,BA.1.1,2802
United Kingdom,2022-01-11,BA.1.1,2136
United Kingdom,2022-01-13,BA.1,2361
United Kingdom,2021-12-30,BA.1.16,259
