country,date,lineage,denominator,numerator
United Kingdom,2021-10-19,AY.4,6882,4323
United Kingdom,2022-12-19,CH.1.1,1632,114
United Kingdom,2021-10-20,AY.4.2,5831,486
United Kingdom,2022-12-13,DV.6,1103,19
United Kingdom,2022-12-20,CH.1.1.19,1585,12
United Kingdom,2021-07-25,AY.4,5662,4243
United Kingdom,2022-12-12,CH.1.1,1236,52
United Kingdom,2022-12-21,CH.1.1,1231,96
United Kingdom,2022-12-21,CH.1.1.19,1231,10
United Kingdom,2022-12-21,CH.1.1.6,1231,5
United Kingdom,2022-12-19,CH.1.1.1,1632,31
United Kingdom,2022-12-21,CH.1.1.13,1231,26
United Kingdom,2022-12-15,CH.1.1,835,67
United Kingdom,2022-12-19,DV.6,1632,32
United Kingdom,2022-12-21,DV.3,1231,3
United Kingdom,2022-12-20,CH.1.1,1585,95
United Kingdom,2021-07-23,AY.4,4846,3678
United Kingdom,2022-12-21,CH.1.1.5,1231,7
United Kingdom,2021-10-21,AY.4,5246,3349
United Kingdom,2021-07-24,AY.4,4172,3181
United Kingdom,2022-12-19,CH.1.1.19,1632,6
United Kingdom,2022-12-18,CH.1.1.2,553,7
United Kingdom,2021-10-23,AY.4,5906,3769
United Kingdom,2022-12-21,CH.1.1.1,1231,22
United Kingdom,2022-12-18,CH.1.1,553,30
United Kingdom,2022-01-06,BA.1.1,11390,2074
United Kingdom,2022-12-08,DV.3,736,4
United Kingdom,2022-12-16,CH.1.1.2,1111,14
United Kingdom,2022-12-13,CH.1.1.6,1103,1
United Kingdom,2021-10-20,AY.4.8,5831,35
United Kingdom,2022-12-19,CH.1.1.8,1632,2
United Kingdom,2022-12-20,CH.1.1.8,1585,8
United Kingdom,2022-12-21,CH.1.1.2,1231,16
United Kingdom,2021-10-20,AY.4,5831,3655
United Kingdom,2021-07-25,AY.6,5662,204
United Kingdom,2021-10-20,AY.5,5831,198
United Kingdom,2022-12-20,CH.1.1.18,1585,10
United Kingdom,2021-10-21,AY.4.2,5246,424
United Kingdom,2021-07-25,AY.4.1,5662,17
United Kingdom,2022-12-22,CH.1.1.19,942,7
United Kingdom,2022-12-21,DV.6,1231,25
United Kingdom,2022-12-20,CH.1.1.11,1585,6
United Kingdom,2022-12-22,CH.1.1.1,942,17
United Kingdom,2021-10-21,AY.120,5246,122
United Kingdom,2022-12-19,DV.3,1632,21
United Kingdom,2021-10-22,AY.120,4882,137
United Kingdom,2022-12-04,CH.1.1,358,16
United Kingdom,2021-10-22,AY.4,4882,3083
United Kingdom,2021-10-15,AY.4,4764,3052
United Kingdom,2021-10-14,AY.4,4734,3053
United Kingdom,2021-10-13,AY.4,5085,3258
United Kingdom,2022-12-03,DV.1.1,345,2
United Kingdom,2022-12-06,DV.6,850,9
United Kingdom,2022-12-07,CH.1.1.1,813,12
United Kingdom,2021-10-16,AY.4,4391,2876
United Kingdom,2022-12-07,CH.1.1.2,813,6
United Kingdom,2022-12-07,CH.1.1.19,813,13
United Kingdom,2022-12-05,DV.3,833,9
United Kingdom,2022-12-05,DV.1.1,833,1
United Kingdom,2022-12-08,DV.1.1,736,1
United Kingdom,2022-12-08,CH.1.1.1,736,7
United Kingdom,2022-12-07,DV.6,813,9
United Kingdom,2022-12-06,CH.1.1.1,850,6
United Kingdom,2022-12-06,CH.1.1.19,850,7
United Kingdom,2022-12-09,DV.6,692,10
United Kingdom,2022-12-10,GP.2,433,1
United Kingdom,2022-12-09,CH.1.1.2,692,2
United Kingdom,2022-12-08,CH.1.1.2,736,3
United Kingdom,2022-12-12,DV.6,1236,44
United Kingdom,2022-12-11,DV.6,395,7
United Kingdom,2022-12-09,CH.1.1,692,14
United Kingdom,2022-12-11,CH.1.1.1,395,11
United Kingdom,2021-10-21,AY.127,5246,15
United Kingdom,2022-12-08,CH.1.1,736,15
United Kingdom,2022-12-10,CH.1.1.2,433,4
United Kingdom,2022-12-11,CH.1.1,395,17
United Kingdom,2022-12-09,DV.2,692,1
United Kingdom,2022-12-10,CH.1.1,433,18
United Kingdom,2022-12-05,CH.1.1,833,32
United Kingdom,2022-12-06,CH.1.1,850,32
United Kingdom,2022-12-08,DV.6,736,12
United Kingdom,2022-12-07,CH.1.1,813,49
United Kingdom,2021-10-21,AY.98,5246,209
United Kingdom,2022-12-02,DV.6,681,3
United Kingdom,2021-10-21,AY.6,5246,86
United Kingdom,2022-12-09,CH.1.1.13,692,1
United Kingdom,2022-12-10,CH.1.1.1,433,7
